,System,Dataset,MAPE_Baseline,MAPE_RF,MAPE_Δ%,MAE_Baseline,MAE_RF,MAE_Δ%,RMSE_Baseline,RMSE_RF,RMSE_Δ%
0,batlik,corona.csv,0.1218,0.0371,-69.49%,0.1815,0.0537,-70.38%,0.2612,0.0721,-72.42%
1,batlik,cranium.csv,0.0332,0.0210,-36.71%,0.0692,0.0415,-40.11%,0.0968,0.0543,-43.93%
2,batlik,cubus.csv,0.0394,0.0206,-47.72%,0.2425,0.1255,-48.26%,0.3333,0.1615,-51.54%
3,batlik,flame.csv,0.0320,0.0217,-32.09%,0.0575,0.0386,-32.92%,0.0768,0.0490,-36.21%
4,batlik,france.csv,0.0393,0.0236,-40.01%,0.1450,0.0817,-43.62%,0.1924,0.1055,-45.15%
5,batlik,frisco.csv,0.0509,0.0324,-36.36%,0.2468,0.1491,-39.58%,0.3328,0.1897,-42.98%
6,batlik,jelly.csv,0.1697,0.0274,-83.86%,0.3246,0.0508,-84.34%,0.4452,0.0819,-81.61%
7,batlik,karte.csv,0.1505,0.0344,-77.14%,1.4932,0.3780,-74.69%,1.8787,0.4729,-74.83%
8,batlik,mandelbrot.csv,0.0464,0.0211,-54.46%,0.0614,0.0272,-55.69%,0.0845,0.0356,-57.85%
9,batlik,strawberry.csv,0.0547,0.0246,-55.09%,0.0942,0.0393,-58.24%,0.1313,0.0504,-61.59%
10,batlik,village.csv,0.5695,0.0445,-92.19%,1.8054,0.1679,-90.70%,2.4727,0.3807,-84.60%
11,dconvert,jpeg-large.csv,0.1344,0.0294,-78.11%,0.4169,0.0996,-76.10%,0.5657,0.1450,-74.37%
12,dconvert,jpeg-medium.csv,0.1019,0.0240,-76.48%,0.1776,0.0428,-75.91%,0.2413,0.0597,-75.27%
13,dconvert,jpeg-small.csv,0.0350,0.0306,-12.47%,0.0150,0.0132,-12.42%,0.0192,0.0171,-10.81%
14,dconvert,png-large.csv,0.0922,0.0259,-71.91%,0.2184,0.0632,-71.06%,0.2801,0.0848,-69.75%
15,dconvert,png-medium.csv,0.0355,0.0259,-26.97%,0.0231,0.0165,-28.63%,0.0292,0.0209,-28.46%
16,dconvert,png-small.csv,0.0331,0.0310,-6.38%,0.0149,0.0139,-6.66%,0.0197,0.0186,-5.76%
17,dconvert,psd-large.csv,0.0143,0.0158,10.50%,0.5347,0.5893,10.21%,0.8719,1.0021,14.94%
